x y z
-3.2 -3.2 0
-3.1 -3.2 0
-3 -3.2 2.836633171e-18
-2.9 -3.2 6.400288648e-18
-2.8 -3.2 9.62263448e-18
-2.7 -3.2 1.268163757e-17
-2.6 -3.2 1.591687379e-17
-2.5 -3.2 1.972612843e-17
-2.4 -3.2 2.368576417e-17
-2.3 -3.2 2.805132791e-17
-2.2 -3.2 3.296424968e-17
-2.1 -3.2 3.814674051e-17
-2 -3.2 4.343604897e-17
-1.9 -3.2 4.879687965e-17
-1.8 -3.2 5.418581246e-17
-1.7 -3.2 5.957634394e-17
-1.6 -3.2 6.521783419e-17
-1.5 -3.2 7.117173553e-17
-1.4 -3.2 7.730368192e-17
-1.3 -3.2 8.370961976e-17
-1.2 -3.2 9.039910242e-17
-1.1 -3.2 9.687384422e-17
-1 -3.2 1.032230236e-16
-0.9 -3.2 1.089934502e-16
-0.8 -3.2 1.139284373e-16
-0.7 -3.2 1.177594108e-16
-0.6 -3.2 1.208839133e-16
-0.5 -3.2 1.253330183e-16
-0.4 -3.2 1.40797597e-16
-0.3 -3.2 2.084058343e-16
-0.2 -3.2 4.845130151e-16
-0.1 -3.2 1.502404911e-15
0 -3.2 4.881232775e-15
0.1 -3.2 1.498118309e-14
0.2 -3.2 4.214568285e-14
0.3 -3.2 1.077843637e-13
0.4 -3.2 2.499763022e-13
0.5 -3.2 5.253191749e-13
0.6 -3.2 9.999457716e-13
0.7 -3.2 1.72375069e-12
0.8 -3.2 2.690666387e-12
0.9 -3.2 3.802663297e-12
1 -3.2 4.865429676e-12
1.1 -3.2 5.635439432e-12
1.2 -3.2 5.908531626e-12
1.3 -3.2 5.607274431e-12
1.4 -3.2 4.816400748e-12
1.5 -3.2 3.744316419e-12
1.6 -3.2 2.634415649e-12
1.7 -3.2 1.67742263e-12
1.8 -3.2 9.665703611e-13
1.9 -3.2 5.040167732e-13
2 -3.2 2.378295448e-13
2.1 -3.2 1.015511483e-13
2.2 -3.2 3.923627528e-14
2.3 -3.2 1.371646452e-14
2.4 -3.2 4.33750252e-15
2.5 -3.2 1.239390783e-15
2.6 -3.2 3.181520932e-16
2.7 -3.2 7.081633309e-17
2.8 -3.2 1.063077272e-17
2.9 -3.2 0
3 -3.2 0
3.1 -3.2 0
3.2 -3.2 0

-3.2 -3.1 0
-3.1 -3.1 5.097446426e-18
-3 -3.1 1.237143445e-17
-2.9 -3.1 1.910483724e-17
-2.8 -3.1 2.594581436e-17
-2.7 -3.1 3.337130355e-17
-2.6 -3.1 4.151672137e-17
-2.5 -3.1 5.035774685e-17
-2.4 -3.1 5.970315122e-17
-2.3 -3.1 6.970090484e-17
-2.2 -3.1 8.005846474e-17
-2.1 -3.1 9.027214973e-17
-2 -3.1 9.995207906e-17
-1.9 -3.1 1.091793616e-16
-1.8 -3.1 1.185501995e-16
-1.7 -3.1 1.287215313e-16
-1.6 -3.1 1.400978203e-16
-1.5 -3.1 1.527986887e-16
-1.4 -3.1 1.668828504e-16
-1.3 -3.1 1.818521422e-16
-1.2 -3.1 1.970941149e-16
-1.1 -3.1 2.119312886e-16
-1 -3.1 2.256016116e-16
-0.9 -3.1 2.374901182e-16
-0.8 -3.1 2.472310607e-16
-0.7 -3.1 2.556180339e-16
-0.6 -3.1 2.656976556e-16
-0.5 -3.1 2.93196111e-16
-0.4 -3.1 4.099676558e-16
-0.3 -3.1 9.198694355e-16
-0.2 -3.1 2.973089418e-15
-0.1 -3.1 1.046917402e-14
0 -3.1 3.519061059e-14
0.1 -3.1 1.087240994e-13
0.2 -3.1 3.056938047e-13
0.3 -3.1 7.799771431e-13
0.4 -3.1 1.804239475e-12
0.5 -3.1 3.782146477e-12
0.6 -3.1 7.182983625e-12
0.7 -3.1 1.23570389e-11
0.8 -3.1 1.92532057e-11
0.9 -3.1 2.716544006e-11
1 -3.1 3.470633513e-11
1.1 -3.1 4.014562752e-11
1.2 -3.1 4.204064269e-11
1.3 -3.1 3.985386106e-11
1.4 -3.1 3.419900468e-11
1.5 -3.1 2.656279788e-11
1.6 -3.1 1.867366542e-11
1.7 -3.1 1.188122946e-11
1.8 -3.1 6.841513131e-12
1.9 -3.1 3.565224786e-12
2 -3.1 1.681328659e-12
2.1 -3.1 7.175270503e-13
2.2 -3.1 2.770991784e-13
2.3 -3.1 9.68362347e-14
2.4 -3.1 3.062267418e-14
2.5 -3.1 8.762547431e-15
2.6 -3.1 2.26770247e-15
2.7 -3.1 5.272910031e-16
2.8 -3.1 1.034443875e-16
2.9 -3.1 1.024251451e-17
3 -3.1 0
3.1 -3.1 0
3.2 -3.1 0

-3.2 -3 8.121061422e-19
-3.1 -3 9.259286028e-18
-3 -3 1.90143357e-17
-2.9 -3 2.93880527e-17
-2.8 -3 4.088259846e-17
-2.7 -3 5.362022623e-17
-2.6 -3 6.693986824e-17
-2.5 -3 8.099827282e-17
-2.4 -3 9.577171236e-17
-2.3 -3 1.108162559e-16
-2.2 -3 1.246205315e-16
-2.1 -3 1.365303508e-16
-2 -3 1.479675845e-16
-1.9 -3 1.603492855e-16
-1.8 -3 1.749602309e-16
-1.7 -3 1.932554096e-16
-1.6 -3 2.144637907e-16
-1.5 -3 2.374899119e-16
-1.4 -3 2.622327865e-16
-1.3 -3 2.869288644e-16
-1.2 -3 3.096422684e-16
-1.1 -3 3.294264963e-16
-1 -3 3.45642554e-16
-0.9 -3 3.586411659e-16
-0.8 -3 3.697000108e-16
-0.7 -3 3.841586513e-16
-0.6 -3 4.230836729e-16
-0.5 -3 5.90346351e-16
-0.4 -3 1.368415835e-15
-0.3 -3 4.782897276e-15
-0.2 -3 1.846857817e-14
-0.1 -3 6.81893493e-14
0 -3 2.314721655e-13
0.1 -3 7.153559322e-13
0.2 -3 2.007251251e-12
0.3 -3 5.108827965e-12
0.4 -3 1.178903847e-11
0.5 -3 2.46570913e-11
0.6 -3 4.673165058e-11
0.7 -3 8.024224419e-11
0.8 -3 1.248092206e-10
0.9 -3 1.758249041e-10
1 -3 2.24310951e-10
1.1 -3 2.591252847e-10
1.2 -3 2.710296869e-10
1.3 -3 2.566463714e-10
1.4 -3 2.200048763e-10
1.5 -3 1.707182187e-10
1.6 -3 1.199092249e-10
1.7 -3 7.623039643e-11
1.8 -3 4.386184716e-11
1.9 -3 2.28408073e-11
2 -3 1.076431904e-11
2.1 -3 4.590913512e-12
2.2 -3 1.771896358e-12
2.3 -3 6.188663161e-13
2.4 -3 1.956026066e-13
2.5 -3 5.594891624e-14
2.6 -3 1.448629049e-14
2.7 -3 3.397246202e-15
2.8 -3 7.169594918e-16
2.9 -3 1.2612079e-16
3 -3 9.625432261e-18
3.1 -3 0
3.2 -3 0

-3.2 -2.9 1.903460807e-18
-3.1 -2.9 1.214169977e-17
-3 -2.9 2.461703021e-17
-2.9 -2.9 3.911584507e-17
-2.8 -2.9 5.519395432e-17
-2.7 -2.9 7.22766931e-17
-2.6 -2.9 9.017548766e-17
-2.5 -2.9 1.090224777e-16
-2.4 -2.9 1.278614948e-16
-2.3 -2.9 1.440594682e-16
-2.2 -2.9 1.570933021e-16
-2.1 -2.9 1.697307242e-16
-2 -2.9 1.859850613e-16
-1.9 -2.9 2.072983782e-16
-1.8 -2.9 2.339805584e-16
-1.7 -2.9 2.641005077e-16
-1.6 -2.9 2.963295076e-16
-1.5 -2.9 3.292871533e-16
-1.4 -2.9 3.603178245e-16
-1.3 -2.9 3.871738355e-16
-1.2 -2.9 4.084606234e-16
-1.1 -2.9 4.242556909e-16
-1 -2.9 4.359913891e-16
-0.9 -2.9 4.468007698e-16
-0.8 -2.9 4.635449644e-16
-0.7 -2.9 5.10722961e-16
-0.6 -2.9 7.137361573e-16
-0.5 -2.9 1.709029006e-15
-0.4 -2.9 6.446317791e-15
-0.3 -2.9 2.722588781e-14
-0.2 -2.9 1.101468487e-13
-0.1 -2.9 4.099461374e-13
0 -2.9 1.390072746e-12
0.1 -2.9 4.282886835e-12
0.2 -2.9 1.197808349e-11
0.3 -2.9 3.039163364e-11
0.4 -2.9 6.993131207e-11
0.5 -2.9 1.458844654e-10
0.6 -2.9 2.758394422e-10
0.7 -2.9 4.726282369e-10
0.8 -2.9 7.336985398e-10
0.9 -2.9 1.03176209e-09
1 -2.9 1.314145728e-09
1.1 -2.9 1.515846668e-09
1.2 -2.9 1.583314167e-09
1.3 -2.9 1.497397073e-09
1.4 -2.9 1.28211758e-09
1.5 -2.9 9.938183155e-10
1.6 -2.9 6.973414645e-10
1.7 -2.9 4.429123442e-10
1.8 -2.9 2.546251568e-10
1.9 -2.9 1.324878775e-10
2 -2.9 6.239140105e-11
2.1 -2.9 2.659081945e-11
2.2 -2.9 1.025613661e-11
2.3 -2.9 3.579892535e-12
2.4 -2.9 1.13079238e-12
2.5 -2.9 3.232378156e-13
2.6 -2.9 8.361985718e-14
2.7 -2.9 1.958405725e-14
2.8 -2.9 4.155799503e-15
2.9 -2.9 7.931982188e-16
3 -2.9 1.265407534e-16
3.1 -2.9 1.193181186e-17
