v0 p
-3.2 0
-3.1 0
-3 1.4265218e-15
-2.9 1.1755467e-13
-2.8 3.2092259e-12
-2.7 7.1613238e-11
-2.6 1.3109748e-09
-2.5 1.9682868e-08
-2.4 2.4246135e-07
-2.3 2.451799e-06
-2.2 2.0365919e-05
-2.1 0.0001390796
-2 0.00078166527
-1.9 0.0036203659
-1.8 0.013841516
-1.7 0.043775014
-1.6 0.11482212
-1.5 0.25062051
-1.4 0.45708146
-1.3 0.70015159
-1.2 0.90653799
-1.1 1
-1 0.94893345
-0.9 0.78380968
-0.8 0.57161674
-0.7 0.37438388
-0.6 0.22471908
-0.5 0.12662609
-0.4 0.0689679
-0.3 0.037707197
-0.2 0.021858753
-0.1 0.014619546
0 0.01254828
0.1 0.014619546
0.2 0.021858753
0.3 0.037707197
0.4 0.0689679
0.5 0.12662609
0.6 0.22471908
0.7 0.37438388
0.8 0.57161674
0.9 0.78380968
1 0.94893345
1.1 1
1.2 0.90653799
1.3 0.70015159
1.4 0.45708146
1.5 0.25062051
1.6 0.11482212
1.7 0.043775014
1.8 0.013841516
1.9 0.0036203659
2 0.00078166527
2.1 0.0001390796
2.2 2.0365919e-05
2.3 2.451799e-06
2.4 2.4246135e-07
2.5 1.9682868e-08
2.6 1.3109744e-09
2.7 7.1612942e-11
2.8 3.2088717e-12
2.9 1.1750653e-13
3 1.4026442e-15
3.1 0
3.2 0
