x f0 f1 f2 f3 f4
-30 2.1018128e-09 2.1436441e-09 2.1613843e-09 3.8978907e-09 6.0919367e-09
-29 1.2272101e-08 1.2515523e-08 1.2553106e-08 2.2586469e-08 3.5163613e-08
-28 6.4925866e-08 6.6208002e-08 6.595158e-08 1.1830687e-07 1.832507e-07
-27 3.1137272e-07 3.1748983e-07 3.1373258e-07 5.608112e-07 8.6352702e-07
-26 1.354005e-06 1.3804468e-06 1.3515804e-06 2.4062885e-06 3.6800062e-06
-25 5.3400883e-06 5.4436563e-06 5.2735122e-06 9.3453941e-06 1.418078e-05
-24 1.9106831e-05 1.9474446e-05 1.8635572e-05 3.284956e-05 4.9398472e-05
-23 6.2041252e-05 6.322385e-05 5.964349e-05 0.00010449078 0.00015549642
-22 0.0001828871 0.00018633524 0.00017287474 0.0003007039 0.00044206366
-21 0.00048964107 0.00049875391 0.00045371672 0.00078262411 0.001134161
-20 0.0011911693 0.0012129978 0.0010779703 0.0018411002 0.0026231106
-19 0.0026345767 0.0026819608 0.0023173886 0.0039114809 0.0054603864
-18 0.0053011442 0.0053943257 0.0045043349 0.007495051 0.010206433
-17 0.0097112856 0.0098771791 0.0079059986 0.012926607 0.017068798
-16 0.016211281 0.016478335 0.01250456 0.020000118 0.025392538
-15 0.024685899 0.025073765 0.017758882 0.027606082 0.033276175
-14 0.034333692 0.03483987 0.022503133 0.033658888 0.037723506
-13 0.043681527 0.044270465 0.025137337 0.035556302 0.035593391
-12 0.050932935 0.051534062 0.024132172 0.031143131 0.025124961
-11 0.054555977 0.055074103 0.018658706 0.019774956 0.0072737653
-10 0.053841806 0.054177223 0.0090166763 0.002886008 -0.01403284
-9 0.049146942 0.049217004 -0.003395381 -0.016329829 -0.033085945
-8 0.041703123 0.041456021 -0.016570562 -0.03400937 -0.04451742
-7 0.033120573 0.032535923 -0.028586378 -0.04691929 -0.045260952
-6 0.02485313 0.02393008 -0.038158807 -0.0533339 -0.035408569
-5 0.017857703 0.016595339 -0.044846809 -0.053181334 -0.017738759
-4 0.012526301 0.010901053 -0.04891653 -0.047580292 0.0035849398
-3 0.0088213363 0.006762302 -0.051027105 -0.038140672 0.024378932
-2 0.0064857848 0.0038436327 -0.051917615 -0.026380159 0.041324223
-1 0.0052268359 0.001726954 -0.05219711 -0.013426888 0.052248869
0 0.0048324381 -7.5184129e-14 -0.052247544 1.8448339e-14 0.056006366
1 0.0052268359 -0.001726954 -0.05219711 0.013426888 0.052248869
2 0.0064857848 -0.0038436327 -0.051917615 0.026380159 0.041324223
3 0.0088213363 -0.006762302 -0.051027105 0.038140672 0.024378932
4 0.012526301 -0.010901053 -0.04891653 0.047580292 0.0035849398
5 0.017857703 -0.016595339 -0.044846809 0.053181334 -0.017738759
6 0.02485313 -0.02393008 -0.038158807 0.0533339 -0.035408569
7 0.033120573 -0.032535923 -0.028586378 0.04691929 -0.045260952
8 0.041703123 -0.041456021 -0.016570562 0.03400937 -0.04451742
9 0.049146942 -0.049217004 -0.003395381 0.016329829 -0.033085945
10 0.053841806 -0.054177223 0.0090166763 -0.002886008 -0.01403284
11 0.054555977 -0.055074103 0.018658706 -0.019774956 0.0072737653
12 0.050932935 -0.051534062 0.024132172 -0.031143131 0.025124961
13 0.043681527 -0.044270465 0.025137337 -0.035556302 0.035593391
14 0.034333692 -0.03483987 0.022503133 -0.033658888 0.037723506
15 0.024685899 -0.025073765 0.017758882 -0.027606082 0.033276175
16 0.016211281 -0.016478335 0.01250456 -0.020000118 0.025392538
17 0.0097112856 -0.0098771791 0.0079059986 -0.012926607 0.017068798
18 0.0053011442 -0.0053943257 0.0045043349 -0.007495051 0.010206433
19 0.0026345767 -0.0026819608 0.0023173886 -0.0039114809 0.0054603864
20 0.0011911693 -0.0012129978 0.0010779703 -0.0018411002 0.0026231106
21 0.00048964107 -0.00049875391 0.00045371672 -0.00078262411 0.001134161
22 0.0001828871 -0.00018633524 0.00017287474 -0.0003007039 0.00044206366
23 6.2041252e-05 -6.322385e-05 5.964349e-05 -0.00010449078 0.00015549642
24 1.9106831e-05 -1.9474446e-05 1.8635572e-05 -3.284956e-05 4.9398472e-05
25 5.3400883e-06 -5.4436563e-06 5.2735122e-06 -9.3453941e-06 1.418078e-05
26 1.354005e-06 -1.3804468e-06 1.3515804e-06 -2.4062885e-06 3.6800062e-06
27 3.1137272e-07 -3.1748983e-07 3.1373257e-07 -5.608112e-07 8.6352702e-07
28 6.4925864e-08 -6.6208002e-08 6.5951577e-08 -1.1830687e-07 1.832507e-07
29 1.22721e-08 -1.2515523e-08 1.2553105e-08 -2.2586469e-08 3.5163612e-08
30 2.1018125e-09 -2.143644e-09 2.1613842e-09 -3.8978909e-09 6.0919361e-09
