d chi logerr
2 10 -0.528599
4 10 -0.861323
6 10 -1.268119
8 10 -1.897962
10 10 -2.152686
12 10 -2.924063
14 10 -3.091278
16 10 -3.367382
18 10 -3.375618
20 10 -3.379195
22 10 -3.379285
24 10 -3.379298
26 10 -3.379299
28 10 -3.379299
30 10 -3.379299
32 10 -3.379299
34 10 -3.379299
36 10 -3.379299
38 10 -3.379299
40 10 -3.379299
42 10 -3.379299
44 10 -3.379299
46 10 -3.379299
48 10 -3.379299
50 10 -3.379299
52 10 -3.379299
54 10 -3.379299
56 10 -3.379299
58 10 -3.379299
60 10 -3.379299
62 10 -3.379299
64 10 -3.379299

2 20 -0.528599
4 20 -0.861323
6 20 -1.268123
8 20 -1.898170
10 20 -2.153415
12 20 -2.952170
14 20 -3.158036
16 20 -3.996865
18 20 -4.242018
20 20 -4.708201
22 20 -4.753679
24 20 -4.761457
26 20 -4.761973
28 20 -4.761986
30 20 -4.761989
32 20 -4.761989
34 20 -4.761989
36 20 -4.761989
38 20 -4.761989
40 20 -4.761989
42 20 -4.761989
44 20 -4.761989
46 20 -4.761989
48 20 -4.761989
50 20 -4.761989
52 20 -4.761989
54 20 -4.761989
56 20 -4.761989
58 20 -4.761989
60 20 -4.761989
62 20 -4.761989
64 20 -4.761989

2 30 -0.528599
4 30 -0.861323
6 30 -1.268123
8 30 -1.898170
10 30 -2.153417
12 30 -2.952220
14 30 -3.158169
16 30 -4.003329
18 30 -4.262681
20 30 -5.033903
22 30 -5.441254
24 30 -5.832024
26 30 -5.918444
28 30 -5.921149
30 30 -5.921771
32 30 -5.921775
34 30 -5.921776
36 30 -5.921776
38 30 -5.921776
40 30 -5.921776
42 30 -5.921776
44 30 -5.921776
46 30 -5.921776
48 30 -5.921776
50 30 -5.921776
52 30 -5.921776
54 30 -5.921776
56 30 -5.921776
58 30 -5.921776
60 30 -5.921776
62 30 -5.921776
64 30 -5.921776

2 40 -0.528599
4 40 -0.861323
6 40 -1.268123
8 40 -1.898170
10 40 -2.153417
12 40 -2.952220
14 40 -3.158169
16 40 -4.003360
18 40 -4.262784
20 40 -5.037525
22 40 -5.466061
24 40 -6.061741
26 40 -6.694181
28 40 -6.820327
30 40 -6.863417
32 40 -6.863686
34 40 -6.863809
36 40 -6.863812
38 40 -6.863812
40 40 -6.863812
42 40 -6.863812
44 40 -6.863812
46 40 -6.863812
48 40 -6.863812
50 40 -6.863812
52 40 -6.863812
54 40 -6.863812
56 40 -6.863812
58 40 -6.863812
60 40 -6.863812
62 40 -6.863812
64 40 -6.863812

2 50 -0.528599
4 50 -0.861323
6 50 -1.268123
8 50 -1.898170
10 50 -2.153417
12 50 -2.952220
14 50 -3.158169
16 50 -4.003361
18 50 -4.262786
20 50 -5.037572
22 50 -5.466402
24 50 -6.067113
26 50 -6.823867
28 50 -7.174041
30 50 -7.716163
32 50 -7.730304
34 50 -7.737017
36 50 -7.737222
38 50 -7.737227
40 50 -7.737227
42 50 -7.737227
44 50 -7.737227
46 50 -7.737227
48 50 -7.737227
50 50 -7.737227
52 50 -7.737227
54 50 -7.737227
56 50 -7.737227
58 50 -7.737227
60 50 -7.737227
62 50 -7.737227
64 50 -7.737227

2 60 -0.528599
4 60 -0.861323
6 60 -1.268123
8 60 -1.898170
10 60 -2.153417
12 60 -2.952220
14 60 -3.158169
16 60 -4.003361
18 60 -4.262786
20 60 -5.037573
22 60 -5.466408
24 60 -6.067208
26 60 -6.827000
28 60 -7.190229
30 60 -8.162833
32 60 -8.310413
34 60 -8.436390
36 60 -8.441595
38 60 -8.441712
40 60 -8.441729
42 60 -8.441729
44 60 -8.441729
46 60 -8.441729
48 60 -8.441729
50 60 -8.441729
52 60 -8.441729
54 60 -8.441729
56 60 -8.441729
58 60 -8.441729
60 60 -8.441729
62 60 -8.441729
64 60 -8.441729

2 70 -0.528599
4 70 -0.861323
6 70 -1.268123
8 70 -1.898170
10 70 -2.153417
12 70 -2.952220
14 70 -3.158169
16 70 -4.003361
18 70 -4.262786
20 70 -5.037573
22 70 -5.466409
24 70 -6.067212
26 70 -6.827124
28 70 -7.190893
30 70 -8.230971
32 70 -8.475020
34 70 -9.083759
36 70 -9.220353
38 70 -9.224587
40 70 -9.225233
42 70 -9.225236
44 70 -9.225237
46 70 -9.225237
48 70 -9.225237
50 70 -9.225237
52 70 -9.225237
54 70 -9.225237
56 70 -9.225237
58 70 -9.225237
60 70 -9.225237
62 70 -9.225237
64 70 -9.225237

2 80 -0.528599
4 80 -0.861323
6 80 -1.268123
8 80 -1.898170
10 80 -2.153417
12 80 -2.952220
14 80 -3.158169
16 80 -4.003361
18 80 -4.262786
20 80 -5.037573
22 80 -5.466409
24 80 -6.067212
26 80 -6.827128
28 80 -7.190911
30 80 -8.233151
32 80 -8.481798
34 80 -9.237364
36 80 -9.875961
38 80 -9.985189
40 80 -10.007741
42 80 -10.007861
44 80 -10.007880
46 80 -10.007880
48 80 -10.007880
50 80 -10.007880
