d chi logerr
2 10 -2.818306
4 10 -3.038850
6 10 -3.588206
8 10 -4.047802
10 10 -4.451589
12 10 -5.231018
14 10 -5.366075
16 10 -5.646153
18 10 -5.667126
20 10 -5.677219
22 10 -5.676666
24 10 -5.676213
26 10 -5.676311
28 10 -5.676327
30 10 -5.676320
32 10 -5.676320
34 10 -5.676321
36 10 -5.676320
38 10 -5.676320
40 10 -5.676320
42 10 -5.676320
44 10 -5.676320
46 10 -5.676320
48 10 -5.676320
50 10 -5.676320
52 10 -5.676320
54 10 -5.676320
56 10 -5.676320
58 10 -5.676320
60 10 -5.676320
62 10 -5.676320
64 10 -5.676320

2 20 -2.818306
4 20 -3.038850
6 20 -3.588254
8 20 -4.049190
10 20 -4.454178
12 20 -5.253757
14 20 -5.396939
16 20 -6.217747
18 20 -6.518801
20 20 -7.032859
22 20 -7.084464
24 20 -7.087628
26 20 -7.089798
28 20 -7.090042
30 20 -7.089950
32 20 -7.089951
34 20 -7.089954
36 20 -7.089954
38 20 -7.089954
40 20 -7.089954
42 20 -7.089954
44 20 -7.089954
46 20 -7.089954
48 20 -7.089954
50 20 -7.089954
52 20 -7.089954
54 20 -7.089954
56 20 -7.089954
58 20 -7.089954
60 20 -7.089954
62 20 -7.089954
64 20 -7.089954

2 30 -2.818306
4 30 -3.038850
6 30 -3.588254
8 30 -4.049179
10 30 -4.454241
12 30 -5.253638
14 30 -5.396585
16 30 -6.225536
18 30 -6.540642
20 30 -7.306950
22 30 -7.726457
24 30 -8.103400
26 30 -8.224921
28 30 -8.232051
30 30 -8.230899
32 30 -8.230911
34 30 -8.230973
36 30 -8.230967
38 30 -8.230967
40 30 -8.230967
42 30 -8.230967
44 30 -8.230967
46 30 -8.230967
48 30 -8.230967
50 30 -8.230967
52 30 -8.230967
54 30 -8.230967
56 30 -8.230967
58 30 -8.230967
60 30 -8.230967
62 30 -8.230967
64 30 -8.230967

2 40 -2.818306
4 40 -3.038850
6 40 -3.588254
8 40 -4.049179
10 40 -4.454241
12 40 -5.253612
14 40 -5.396539
16 40 -6.225963
18 40 -6.541379
20 40 -7.305889
22 40 -7.737532
