d chi
64.00000 29.45308
62.00000 29.45308
60.00000 29.45308
58.00000 29.45308
56.00000 29.45308
54.00000 29.45308
52.00000 29.45308
50.00000 29.45308
48.00000 29.45308
46.00000 29.45308
44.00000 29.45308
42.00000 29.45308
40.00000 29.45308
38.00000 29.45308
36.00000 29.45308
34.00000 29.45307
32.00000 29.45318
30.00000 29.45320
28.00000 29.45113
26.00000 29.46363
24.00000 29.71310
23.61097 30.00000
23.23014 40.00000
23.22602 50.00000
23.22578 60.00000
23.22579 70.00000
23.22578 80.00000
23.22578 90.00000
